,company_name,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,country,belongs_to_collection,country_of_company,genre,year
2659,Pony Canyon,0,ja,52.132,2023-05-12,0,101,6.0,1,JP,False,JP,"Drama,Comedy",2023
2660,Why Not Productions,0,fr,82.149,2024-06-05,0,96,5.7,53,FR,False,FR,Comedy,2024
2661,Territory Pictures,50000000,en,39.315,2025-04-03,0,190,0.0,0,US,Horizon: An American Saga Collection,US,"Western,Drama",2025
2662,Columbia Pictures,25000000,en,70.321,2024-09-27,9802525,109,6.908,157,US,False,US,"Comedy,Drama",2024
2663,Paramount Pictures,0,en,106.906,2023-05-23,0,88,5.9,22,US,False,US,Horror,2023
2664,SP Media Group,0,en,40.535,2024-02-09,0,84,6.095,132,US,False,US,"Action,Thriller",2024
2665,Atomic Monster,10000000,en,33.616,2025-02-19,0,98,0.0,0,US,False,US,"Horror,Comedy",2025
2666,Film Bridge International,0,en,147.751,2024-09-19,0,105,5.681,113,US,False,US,"Action,Thriller",2024
2667,Blumhouse Productions,13000000,en,43.464,2024-03-06,43787034,104,6.0,535,US,False,US,"Horror,Mystery",2024
2668,Basque Films,0,es,193.946,2024-09-27,0,101,5.573,1056,ES,The Platform Collection,ES,"Science Fiction,Horror,Thriller",2024
2669,Davis Entertainment,25000000,en,196.565,2025-01-22,12000000,91,5.6,27,US,False,US,"Thriller,Action,Crime,Drama",2025
2670,Arclight Films,0,en,91.259,2024-09-19,0,92,7.0,3,GB,False,US,"Comedy,Fantasy",2024
2671,Colorado Film,7000000,it,90.038,2024-04-03,0,106,6.5,815,IT,False,IT,"Romance,Drama",2024
2672,Passion Pictures,0,en,37.589,2024-09-21,89388,104,8.3,122,US,False,GB,Documentary,2024
2673,WildBrain Studios,0,en,38.745,2024-02-15,0,40,7.6,51,US,False,CA,"Animation,Family",2024
2674,Mandarin Motion Pictures,38500000,cn,89.628,2024-12-08,24650452,117,7.8,12,HK,False,HK,"Action,Drama,Crime,Thriller",2024
2675,Shudder,0,en,77.495,2024-08-16,0,86,5.8,31,AU,False,US,Horror,2024
2676,The Barnum Picture Company,0,en,171.911,2024-03-15,0,86,6.2,298,US,False,US,"Action,Thriller,Horror",2024
2677,ChampDog Films,0,en,73.917,2024-05-31,47300,82,6.0,46,GB,False,GB,"Horror,Fantasy",2024
2678,RiFF studio,0,th,104.507,2023-10-11,0,90,7.5,68,TH,Mantra Warrior,TH,"Animation,Action,Adventure,Fantasy,Science Fiction",2023
2679,Minds@Work,0,th,69.215,2023-10-25,15150000,121,7.607,168,TH,Death Whisperer Collection,TH,"Horror,Thriller",2023
2680,Kelas Bintang,0,id,50.688,2023-05-13,0,59,10.0,1,ID,False,ID,"Drama,Romance",2023
2681,Tin Hat Productions,0,en,45.521,2023-12-01,0,80,7.1,82,GB,False,GB,War,2023
2682,AC3 Media,0,en,54.992,2024-09-20,0,81,6.385,52,US,False,US,"Drama,Horror,Thriller",2024
2683,A24,10000000,en,762.939,2024-10-31,51913394,111,7.163,972,US,False,US,"Horror,Thriller",2024
2684,Walt Disney Animation Studios,0,en,38.68,2023-09-24,0,9,8.3,360,US,False,US,"Animation,Family,Fantasy,Comedy",2023
2685,OneFox Productions,0,en,48.473,2024-10-04,0,106,6.3,28,US,False,US,Horror,2024
2686,Humanoids,0,en,43.99,2024-07-17,0,80,5.8,68,CA,False,US,"Horror,Comedy,Thriller",2024
2687,Nostromo Pictures,0,es,138.515,2024-02-23,0,105,6.96,573,ES,Through My Window Collection,ES,"Romance,Drama,Comedy",2024
2688,Climax Studios,0,ko,107.16,2024-09-10,0,108,7.7,258,KR,False,KR,"Action,Comedy,Crime",2024
2689,DreamWorks Animation,0,en,59.819,2024-02-01,0,90,6.563,522,US,False,US,"Animation,Family,Comedy,Fantasy",2024
2690,ITN Distribution,0,en,49.856,2023-10-13,0,77,5.8,20,GB,False,GB,Horror,2023
2691,Extension 765,2000000,en,65.921,2025-01-17,3415000,85,7.0,16,US,False,US,"Drama,Horror",2025
2692,Epic Pictures Group,0,en,101.382,2024-02-09,0,90,5.9,111,IE,False,US,"Science Fiction,Horror,Thriller",2024
2693,Minds Eye Entertainment,0,en,52.99,2024-09-27,0,91,5.763,38,CA,False,CA,"Horror,Thriller",2024
2695,Pitchipoï Productions,0,fr,128.172,2024-11-01,0,110,6.5,89,FR,False,FR,"Action,Romance,Drama",2024
2696,Monkey Pack Films,0,fr,36.406,2024-06-20,0,99,6.346,91,FR,False,FR,"Comedy,Action",2024
2697,2AM,0,en,54.188,2024-09-20,0,107,5.4,42,US,False,US,"Science Fiction,Drama,Comedy",2024
2698,Maddock Films,0,hi,43.297,2025-01-24,0,150,6.5,2,IN,False,IN,"Action,Thriller",2025
2699,Jalapeno Goat,0,en,57.478,2024-08-15,451381,96,5.9,56,US,False,US,"Thriller,Drama",2024
2700,The Asylum,0,en,185.729,2023-06-09,65452,84,5.4,33,US,Transmorphers Collection,US,"Action,Science Fiction",2023
2701,Paramount Pictures,0,en,134.121,2023-10-06,0,101,4.4,16,US,False,US,"Horror,Thriller",2023
2702,Elite Filmes,0,en,104.857,2023-07-11,0,80,5.5,48,US,False,US,"Action,Thriller",2023
2703,Vivamax,0,tl,31.862,2023-08-11,0,104,1.5,2,PH,False,PH,Drama,2023
2704,Murgen Croaker Productions,0,en,44.1,2023-08-11,0,87,3.2,4,US,False,US,"Thriller,Drama",2023
2706,Bandai Namco Filmworks,0,ja,31.627,2024-01-26,36038764,125,6.7,54,JP,False,JP,"Animation,Science Fiction,Action,Drama",2024
2707,Polaris Film Productions,0,fr,41.022,2024-11-14,0,99,5.9,4,FR,False,FR,"Comedy,Family",2024
2708,Zagtoon,0,fr,133.862,2023-10-21,0,48,7.246,552,FR,Miraculous World,FR,"Animation,Adventure,Action,Fantasy,Family",2023
2709,Zagtoon,0,fr,500.903,2024-11-14,0,50,7.8,134,FR,Miraculous World,FR,"Animation,Adventure,Action,Fantasy",2024
2710,Perfect Storm Film,0,ko,196.172,2024-06-21,14602614,100,6.5,87,KR,False,KR,"Action,Thriller,Crime",2024
2711,Great Lakes Vacuum Supplies Unlimited,0,en,32.049,2024-05-03,0,84,6.091,93,US,False,US,"Horror,Thriller,Mystery,Science Fiction",2024
2712,Blue Butterfly Films,0,hi,35.634,2024-10-24,0,127,7.0,39,IN,False,IN,"Thriller,Mystery,Drama,Crime",2024
2713,Vaca Films,5400000,es,31.66,2024-01-19,1751343,102,6.5,117,ES,False,ES,"Thriller,Crime",2024
2714,Garajonay Producciones,0,es,74.868,2024-01-12,0,0,4.8,4,ES,False,ES,Comedy,2024
2715,Kelas Bintang,0,id,115.146,2023-04-06,0,0,10.0,2,ID,False,ID,"Drama,Romance",2023
2716,Ánima Estudios,1100000,es,38.068,2023-07-14,0,89,8.398,231,MX,Las Leyendas Collection,MX,"Animation,Comedy,Family,Horror",2023
2717,Rock & Ruz,0,es,69.922,2023-09-29,0,109,7.364,1387,ES,False,ES,"Thriller,Drama",2023
2718,Frontier Pictures,0,id,137.457,2024-09-10,0,145,7.3,209,ID,False,ID,"Action,Crime,Thriller",2024
